,V1,ffg,hemi,subject
0,0.633551050571425,0.7378023297169464,lh,sub002
1,0.783582702915509,0.6368110520016876,rh,sub002
2,0.7817016407230907,1.0,lh,sub003
3,0.5387382740984457,0.8990214818984509,rh,sub003
4,0.47370227203750537,0.9964015215705168,lh,sub004
5,0.3765899864828476,1.0,rh,sub004
6,0.44611050765208676,0.9016401905031266,lh,sub006
7,0.4540374438168158,1.0,rh,sub006
8,0.6970253447752193,0.7172449105937296,lh,sub007
9,0.3689034951301512,0.8900520844618999,rh,sub007
10,0.4914374834645133,0.8047709398887981,lh,sub008
11,1.0,0.8726370078842891,rh,sub008
12,0.6868121482756514,0.6270868536536499,lh,sub009
13,0.44847968215136363,0.6635472784553448,rh,sub009
14,0.7464544591259719,0.7192288068582462,lh,sub010
15,0.48886537016953174,0.8830756651804499,rh,sub010
16,0.5747814519908416,1.0,lh,sub011
17,0.306328394227258,1.0,rh,sub011
18,0.8459497057051518,0.6026158657514986,lh,sub012
19,0.6641272122824905,1.0,rh,sub012
20,0.9076308143675618,1.0,lh,sub013
21,0.7169017438635734,0.7641761604968675,rh,sub013
22,0.7468364034812542,0.8010192903232395,lh,sub014
23,1.0,0.9573042541450965,rh,sub014
24,0.4996310848457981,1.0,lh,sub016
25,0.34477681621270245,0.9714971417435153,rh,sub016
26,0.8838024802633772,1.0,lh,sub017
27,0.5585765307586174,0.49259984537085777,rh,sub017
28,0.6395233218874297,0.6943149854902965,lh,sub018
29,0.46368903635316067,0.7818772882429335,rh,sub018
30,0.24480818142227243,0.6109410517915911,lh,sub019
31,0.4274032241155827,1.0,rh,sub019
