,V1_count,V1_geod,V1_max,ffa_count,ffa_geod,ffa_max,ffg_count,ffg_geod,ffg_max,hemi,model,subject
0,0.0,5.699841302903493,0.5218119917400892,0.0,6.674480663178504,0.3388834554476758,0.2222222222222222,7.080396717830351,0.6445243939046263,lh,fmri,sub002
1,0.0,5.184077075502776,0.5065564437411378,0.0,6.3984474712280806,0.3349031174740389,0.0,6.21352239075482,0.32891033574830286,rh,fmri,sub002
2,0.1111111111111111,7.07179069029142,0.43140347109120186,0.2222222222222222,0.4659386302814796,0.5560772895687032,0.2222222222222222,1.6189440941038953,0.5560772895687032,lh,fmri,sub003
3,0.0,6.792261898353159,0.28805509607998936,0.2222222222222222,1.378623456222865,0.9358725382673844,0.1111111111111111,1.775650932825275,0.5686797675090542,rh,fmri,sub003
4,0.0,7.07179069029142,0.3065778753031974,0.5555555555555556,0.4659386302814796,0.768442008840574,0.2222222222222222,1.6189440941038953,0.768442008840574,lh,fmri,sub004
5,0.0,6.783482432129758,0.33981832899936426,0.2222222222222222,1.2947801692976586,0.6527362793593907,0.2222222222222222,1.435221990743539,0.6527362793593907,rh,fmri,sub004
6,0.0,7.270697130464933,0.33460157455041767,0.1111111111111111,1.125366937681818,0.5942042459968411,0.1111111111111111,2.227478656565628,0.5942042459968411,lh,fmri,sub006
7,0.0,6.2802868021187015,0.21388357521484952,0.3333333333333333,2.013149207714572,0.7960785207869561,0.4444444444444444,1.8595043291571687,0.8187042661648862,rh,fmri,sub006
8,0.0,7.6213798766476,0.6402856848606856,0.0,9.807386586248484,0.21879781853186803,0.0,10.42137636036541,0.6048518234920519,lh,fmri,sub007
9,0.0,5.929343750594406,0.2887339600042622,0.0,6.911304597246752,0.7143328057166043,0.0,6.8351197162049955,0.7229834452404365,rh,fmri,sub007
10,0.0,4.968776090170516,0.4460909181180105,0.1111111111111111,3.7898451252101406,0.5700580457255505,0.2222222222222222,3.5096558242413027,0.654660866874752,lh,fmri,sub008
11,0.3333333333333333,3.0523612863218563,0.5905810085234796,0.1111111111111111,9.085411990339123,0.4831456495442563,0.0,8.072199230381118,0.41229782486588223,rh,fmri,sub008
12,0.0,5.138395082329132,0.4987142027673148,0.1111111111111111,6.428321529843935,0.5537248317434273,0.0,6.434364756253495,0.2527826710591973,lh,fmri,sub009
13,0.0,6.157553658644525,0.3419770269239198,0.0,6.584037684296239,0.49997492812018723,0.0,6.438861937713913,0.5529814548055693,rh,fmri,sub009
14,0.1111111111111111,7.270697130464933,0.47569240804364055,0.1111111111111111,1.125366937681818,0.5314341740436734,0.1111111111111111,2.227478656565628,0.5314341740436734,lh,fmri,sub010
15,0.0,7.839171127877496,0.39769565765395076,0.6666666666666666,0.8627538464518979,0.7221877719840328,0.1111111111111111,2.1909864027994757,0.6512480275861104,rh,fmri,sub010
16,0.0,5.435629279049418,0.2285085092512766,0.0,2.607978509219276,0.11332227522913822,0.0,2.3451945301911867,0.14579149633581362,lh,fmri,sub011
17,0.0,6.171321935875462,0.29948900101936266,0.1111111111111111,1.8800793543659908,0.36888912006547564,0.3333333333333333,1.43643567756356,0.5868128257672409,rh,fmri,sub011
18,0.1111111111111111,3.8253680668149626,0.3628520954428071,0.0,7.634748394004119,0.15132403412926126,0.0,7.234236777651283,0.24360572408440567,lh,fmri,sub012
19,0.2222222222222222,3.919332358477394,0.5756647496750736,0.2222222222222222,9.169825350507914,0.5425513183359697,0.1111111111111111,8.613341365245942,0.47778942063951296,rh,fmri,sub012
20,0.3333333333333333,7.270697130464933,0.846862826477158,0.0,1.125366937681818,0.4162757469657426,0.2222222222222222,2.227478656565628,0.81212873146108,lh,fmri,sub013
21,0.0,5.840246108774015,0.32199627182679225,0.1111111111111111,2.5840791614017453,0.607744748192608,0.3333333333333333,2.147440176025324,0.607744748192608,rh,fmri,sub013
22,0.1111111111111111,6.270641527519574,0.585112513003771,0.0,6.89940254526514,0.4011426791039554,0.1111111111111111,7.486387215884728,0.6746908930675225,lh,fmri,sub014
23,0.0,7.522599280887461,0.5245667988515218,0.1111111111111111,12.067428489176912,0.6469818057781076,0.2222222222222222,11.97080022726836,0.669031810665819,rh,fmri,sub014
24,0.0,5.754237176538153,0.3496352131516519,0.1111111111111111,1.894563727390338,0.5563515347608253,0.3333333333333333,1.7957610042616425,0.8007449506106912,lh,fmri,sub016
25,0.0,7.290466200889921,0.2627153840510493,0.4444444444444444,0.9431570835651304,0.8447697545412045,0.2222222222222222,1.8358148765825015,0.775049568034654,rh,fmri,sub016
26,0.0,3.8253680668149626,0.35190762606657683,0.0,7.634748394004119,0.29919208953564574,0.4444444444444444,7.234236777651283,0.46554967294486893,lh,fmri,sub017
27,0.0,7.839171127877496,0.35597037743800364,0.5555555555555556,0.8627538464518979,0.9333485881381679,0.0,2.1909864027994757,0.44093041241308184,rh,fmri,sub017
28,0.1111111111111111,5.838910920441935,0.4640526491264256,0.0,3.714035316511294,0.31599533601959234,0.1111111111111111,4.1216607427403416,0.49440477173317376,lh,fmri,sub018
29,0.0,6.167143073980886,0.2547586813098082,0.0,3.847813646092831,0.3694982360285454,0.1111111111111111,3.6860540513684823,0.579080405150606,rh,fmri,sub018
30,0.0,5.039754118000186,0.20025194043067143,0.1111111111111111,3.3517638020685823,0.44059104856363773,0.0,3.0702407632838757,0.29867741596311587,lh,fmri,sub019
31,0.0,6.407438521587213,0.19538937084965474,0.2222222222222222,2.1965921125616386,0.354610648957074,0.2222222222222222,2.1476800085175993,0.3802123674313334,rh,fmri,sub019
